symbol,date,open,high,low,close,volume
AAPL,2024-03-22 16:00:00,172.37,172.521,172.248,172.39,17915930
AAPL,2024-03-22 15:59:00,172.479,172.48,172.23,172.25,953094
AAPL,2024-03-22 15:58:00,172.4,172.49,172.39,172.48,274813
AAPL,2024-03-22 15:57:00,172.34,172.42,172.33,172.405,342157
AAPL,2024-03-22 15:56:00,172.37,172.43,172.33,172.35,288187
AAPL,2024-03-22 15:55:00,172.29,172.47,172.28,172.38,375835
AAPL,2024-03-22 15:54:00,172.485,172.535,172.26,172.3,390478
AAPL,2024-03-22 15:53:00,172.42,172.51,172.41,172.49,259557
AAPL,2024-03-22 15:52:00,172.39,172.47,172.37,172.433,176532
AAPL,2024-03-22 15:51:00,172.46,172.51,172.3,172.4,363401
AAPL,2024-03-22 15:50:00,172.58,172.63,172.415,172.465,290657
AAPL,2024-03-22 15:49:00,172.635,172.638,172.56,172.58,140935
AAPL,2024-03-22 15:48:00,172.591,172.68,172.56,172.63,142526
AAPL,2024-03-22 15:47:00,172.67,172.68,172.59,172.595,130568
AAPL,2024-03-22 15:46:00,172.635,172.68,172.615,172.68,146608
AAPL,2024-03-22 15:45:00,172.84,172.84,172.6,172.635,257051
AAPL,2024-03-22 15:44:00,172.9,172.93,172.75,172.845,230254
AAPL,2024-03-22 15:43:00,172.985,173.02,172.87,172.9,244025
AAPL,2024-03-22 15:42:00,173.015,173.02,172.94,172.99,123976
AAPL,2024-03-22 15:41:00,172.96,173.02,172.95,173.015,127515
AAPL,2024-03-22 15:40:00,172.985,172.99,172.93,172.955,128436
AAPL,2024-03-22 15:39:00,173.005,173.01,172.98,172.98,85157
AAPL,2024-03-22 15:38:00,173.048,173.05,172.99,173.005,139595
AAPL,2024-03-22 15:37:00,172.983,173.05,172.975,173.05,254905
AAPL,2024-03-22 15:36:00,172.92,173.0,172.91,172.985,178106
AAPL,2024-03-22 15:35:00,172.92,172.96,172.9,172.915,79405
AAPL,2024-03-22 15:34:00,172.86,172.93,172.855,172.9,93653
AAPL,2024-03-22 15:33:00,172.9,172.945,172.865,172.87,88746
AAPL,2024-03-22 15:32:00,172.885,172.93,172.855,172.89,106035
AAPL,2024-03-22 15:31:00,172.9,172.925,172.88,172.885,84157
AAPL,2024-03-22 15:30:00,172.982,172.99,172.89,172.9,132771
AAPL,2024-03-22 15:29:00,172.925,172.99,172.92,172.987,84706
AAPL,2024-03-22 15:28:00,172.965,172.99,172.92,172.927,106565
AAPL,2024-03-22 15:27:00,172.92,172.985,172.9,172.965,151311
AAPL,2024-03-22 15:26:00,172.875,172.93,172.87,172.924,105725
AAPL,2024-03-22 15:25:00,172.885,172.91,172.87,172.875,96934
AAPL,2024-03-22 15:24:00,172.875,172.9,172.87,172.88,162436
AAPL,2024-03-22 15:23:00,172.849,172.898,172.84,172.87,91013
AAPL,2024-03-22 15:22:00,172.79,172.86,172.79,172.85,69917
AAPL,2024-03-22 15:21:00,172.755,172.81,172.75,172.79,57909
AAPL,2024-03-22 15:20:00,172.775,172.83,172.73,172.76,93364
AAPL,2024-03-22 15:19:00,172.74,172.78,172.72,172.78,56095
AAPL,2024-03-22 15:18:00,172.77,172.81,172.73,172.75,69314
AAPL,2024-03-22 15:17:00,172.7,172.78,172.67,172.77,65599
AAPL,2024-03-22 15:16:00,172.745,172.76,172.68,172.7,85778
AAPL,2024-03-22 15:15:00,172.78,172.82,172.74,172.743,76149
AAPL,2024-03-22 15:14:00,172.75,172.83,172.745,172.785,98632
AAPL,2024-03-22 15:13:00,172.718,172.765,172.67,172.744,84897
AAPL,2024-03-22 15:12:00,172.81,172.81,172.67,172.716,222353
AAPL,2024-03-22 15:11:00,172.865,172.91,172.8,172.85,172161
AAPL,2024-03-22 15:10:00,172.945,172.97,172.855,172.865,92688
AAPL,2024-03-22 15:09:00,172.925,172.96,172.925,172.948,141010
AAPL,2024-03-22 15:08:00,172.855,172.94,172.85,172.925,97992
AAPL,2024-03-22 15:07:00,172.845,172.9,172.83,172.855,82822
AAPL,2024-03-22 15:06:00,172.905,172.92,172.84,172.846,107841
AAPL,2024-03-22 15:05:00,172.87,172.91,172.82,172.9,84699
AAPL,2024-03-22 15:04:00,172.78,172.91,172.78,172.87,124864
AAPL,2024-03-22 15:03:00,172.78,172.82,172.74,172.77,68249
AAPL,2024-03-22 15:02:00,172.84,172.88,172.79,172.79,106676
AAPL,2024-03-22 15:01:00,172.708,172.84,172.695,172.84,102757
AAPL,2024-03-22 15:00:00,172.75,172.76,172.7,172.71,71204
AAPL,2024-03-22 14:59:00,172.755,172.76,172.72,172.75,65409
AAPL,2024-03-22 14:58:00,172.81,172.82,172.74,172.754,57936
AAPL,2024-03-22 14:57:00,172.838,172.838,172.79,172.815,52460
AAPL,2024-03-22 14:56:00,172.805,172.85,172.8,172.83,59193
AAPL,2024-03-22 14:55:00,172.805,172.84,172.78,172.805,38265
AAPL,2024-03-22 14:54:00,172.835,172.84,172.79,172.805,34066
AAPL,2024-03-22 14:53:00,172.776,172.856,172.776,172.835,72730
AAPL,2024-03-22 14:52:00,172.765,172.799,172.755,172.775,54466
AAPL,2024-03-22 14:51:00,172.851,172.89,172.765,172.765,77869
