,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
0,00000000000000000000540268ddfc73d8cd7348eb48695fe4a602708c89b2e4,545259520,386216622,17380913,3862147940,1733081,806982,True,806982,3993482
1,00000000000000000003f3a19f16e20cc5f50f108ed7dabd5957f2e61e90868d,536879104,386216622,17655615,822115101,1747360,806981,True,806981,3993154
2,0000000000000000000372109b9a114633512587c8b074910a4bc02921828b59,547356672,386216622,15397499,2453648697,1797458,806980,True,806980,3993365
3,0000000000000000000438def0efe8257f6ff025665074dbcf7e1fda070aff30,887709696,386216622,14746325,2618089852,1913649,806979,True,806979,3993468
4,000000000000000000022e8847528953ebe30fc81867dc9ab70b50ce2660d5df,536870912,386216622,17157713,700034109,1695531,806978,True,806978,3993549
5,000000000000000000051355825a2eee832e8c068a3aa355ac6a28bed2d29472,536928256,386216622,14267496,690643341,1117137,806977,True,806977,3992862
6,00000000000000000000934a50f928c4572cc5d32276ffb55bd8dced508d728d,587145216,386216622,16096184,1707479123,2004003,806976,True,806976,3993648
7,00000000000000000002914218e992201381ea1fb26cb2fa963a50df844051b6,536928256,386216622,16022431,739931405,1466355,806975,True,806975,3993528
8,0000000000000000000047ea53323c0e8c8609f5dfea221fef380d20a12978d8,538157056,386216622,15046341,1066014781,1941877,806974,True,806974,3993634
9,00000000000000000004f5d5af8c8532c5560a2e3f456d9f9fef7a867f3e7c8c,602439680,386216622,15317484,2550327373,1594967,806973,True,806973,3992672
10,000000000000000000044e257ee716989fb570589520ead0e9e05fe3458bf155,745529344,386216622,15169136,2511746077,1885826,806972,True,806972,3993056
11,0000000000000000000132d5842a392ad90fc61d139a81aa11d2bc2b2087d624,536870916,386216622,18397837,410081074,1730443,806971,True,806971,3992545
12,00000000000000000001575c226057814626005a617618e5939b46d28b7c1a4a,605962240,386216622,15072723,203086419,1919565,806970,True,806970,3993375
13,00000000000000000001a9ed9208b39faf3e6de59519e2980d3d97761ecab86d,549453824,386216622,16169892,32270489,1775167,806969,True,806969,3993109
14,00000000000000000000adf1f73b950dd3aa10c11824a546df11076c7217e2b3,695934976,386216622,18868586,1514455060,1502072,806968,True,806968,3993407
15,0000000000000000000079b0600c52d171a5aeb809f1c828af60d5861b8b135a,857145344,386216622,20121710,2498194485,1431333,806967,True,806967,3993357
16,00000000000000000002c983d51d521f64fabdf281a9789c5795917bcccaf844,536870912,386216622,14768772,3376340068,2020827,806966,True,806966,3992994
17,00000000000000000002433495ae8c148d9d293db1ba1f30bd5c846301066855,536952832,386216622,14769294,3495088829,2108942,806965,True,806965,3993284
18,0000000000000000000160eae267d71f2b5d53e29f5d5ad49528909154817d2f,794722304,386216622,15580549,3877264850,1955478,806964,True,806964,3992814
19,00000000000000000001f12b43293947b762679c2cd76f95aa934d540f95c3bc,606093312,386216622,15546308,2564914437,1926710,806963,True,806963,3992939
20,00000000000000000003adf194a03b1565d8425ef6ed046cc53b28393e2e2583,551550976,386216622,19619554,1790714900,1717548,806962,True,806962,3993591
21,00000000000000000000463beb6647f34c5952fdc8b370866b0da241fa9ac229,624058368,386216622,24438525,4012954386,1361470,806961,True,806961,3992776
22,00000000000000000001f022fadbd930ccf6acbe00a07626e3a0898fb5799bc9,536961024,386216622,16061692,2624022693,1816717,806960,True,806960,3993532
23,000000000000000000033b0b78ff68c5767109f45ee42696bd4db9b2845a7ea8,543162368,386216622,14576430,3603141691,1799029,806959,True,806959,3993031
24,00000000000000000000205fec13ac1ed11358980443856c30f8cca647b4789a,620806144,386216622,18081023,1782136027,1870255,806958,True,806958,3993490
25,00000000000000000002665366ddf7ec598cd797bfe768b469ea7bcd73b9ab3a,536895488,386216622,16978813,1002880769,1794580,806957,True,806957,3993109
26,00000000000000000003ccdc7a13a2b7c248c6f708778706a58fad1e78f8f73f,541065216,386216622,15490224,55961371,1976964,806956,True,806956,3993141
27,0000000000000000000142b08e9f60d632c3ec10d040c73a72220cbc5a0895ee,800104448,386216622,18197745,337678647,1516938,806955,True,806955,3992958
28,000000000000000000040b88a773ba028dad46b023e9f0fb4c348b28bdca6d21,536870912,386216622,23688307,1439704631,1373150,806954,True,806954,3997859
29,00000000000000000003e3aaab8405f17845bf19a4c4b331397f398677e4559c,892854272,386216622,25347382,532592193,1332411,806953,True,806953,3993405
30,000000000000000000016aec98e761fceba99111b02199970d6296d0c6495644,814243840,386216622,19536998,355799129,1585555,806952,True,806952,3993016
